"year","week","name","value","region"
2023,25,"per_sentinel",5.76,"福岡県"
2023,25,"reports",42,"福岡市中央区"
2023,25,"per_sentinel",7,"福岡市中央区"
2023,25,"reports",26,"福岡市博多区"
2023,25,"per_sentinel",3.71,"福岡市博多区"
2023,25,"reports",50,"福岡市南区"
2023,25,"per_sentinel",5.56,"福岡市南区"
2023,25,"reports",122,"福岡市早良区"
2023,25,"per_sentinel",15.25,"福岡市早良区"
2023,25,"reports",66,"福岡市東区"
2023,25,"per_sentinel",7.33,"福岡市東区"
2023,25,"reports",41,"福岡市西区"
2023,25,"per_sentinel",5.86,"福岡市西区"
2023,25,"reports",34,"福岡市城南区"
2023,25,"per_sentinel",6.8,"福岡市城南区"
2023,25,"reports",163,"北九州市"
2023,25,"per_sentinel",4.66,"北九州市"
2023,25,"reports",32,"久留米市"
2023,25,"per_sentinel",2.91,"久留米市"
2023,25,"reports",68,"宗像・遠賀"
2023,25,"per_sentinel",5.67,"宗像・遠賀"
2023,25,"reports",84,"粕屋"
2023,25,"per_sentinel",7,"粕屋"
2023,25,"reports",116,"筑紫"
2023,25,"per_sentinel",7.25,"筑紫"
2023,25,"reports",41,"糸島"
2023,25,"per_sentinel",6.83,"糸島"
2023,25,"reports",23,"田川"
2023,25,"per_sentinel",3.29,"田川"
2023,25,"reports",39,"北筑後"
2023,25,"per_sentinel",4.88,"北筑後"
2023,25,"reports",116,"南筑後"
2023,25,"per_sentinel",5.8,"南筑後"
2023,25,"reports",33,"京築"
2023,25,"per_sentinel",4.13,"京築"
2023,25,"reports",45,"嘉穂・鞍手"
2023,25,"per_sentinel",3.75,"嘉穂・鞍手"
2023,26,"reports",1427,"福岡県"
2023,26,"per_sentinel",7.21,"福岡県"
2023,26,"reports",39,"福岡市中央区"
2023,26,"per_sentinel",6.5,"福岡市中央区"
2023,26,"reports",60,"福岡市博多区"
2023,26,"per_sentinel",8.57,"福岡市博多区"
2023,26,"reports",64,"福岡市南区"
2023,26,"per_sentinel",7.11,"福岡市南区"
2023,26,"reports",188,"福岡市早良区"
2023,26,"per_sentinel",23.5,"福岡市早良区"
2023,26,"reports",87,"福岡市東区"
2023,26,"per_sentinel",9.67,"福岡市東区"
2023,26,"reports",61,"福岡市西区"
2023,26,"per_sentinel",8.71,"福岡市西区"
2023,26,"reports",37,"福岡市城南区"
2023,26,"per_sentinel",7.4,"福岡市城南区"
2023,26,"reports",207,"北九州市"
2023,26,"per_sentinel",5.91,"北九州市"
2023,26,"reports",50,"久留米市"
2023,26,"per_sentinel",4.55,"久留米市"
2023,26,"reports",93,"宗像・遠賀"
2023,26,"per_sentinel",7.75,"宗像・遠賀"
2023,26,"reports",107,"粕屋"
2023,26,"per_sentinel",8.92,"粕屋"
2023,26,"reports",119,"筑紫"
2023,26,"per_sentinel",7.44,"筑紫"
2023,26,"reports",38,"糸島"
2023,26,"per_sentinel",6.33,"糸島"
2023,26,"reports",22,"田川"
2023,26,"per_sentinel",3.14,"田川"
2023,26,"reports",53,"北筑後"
2023,26,"per_sentinel",6.63,"北筑後"
2023,26,"reports",116,"南筑後"
2023,26,"per_sentinel",5.8,"南筑後"
2023,26,"reports",38,"京築"
2023,26,"per_sentinel",4.75,"京築"
2023,26,"reports",48,"嘉穂・鞍手"
2023,26,"per_sentinel",4,"嘉穂・鞍手"
2023,27,"reports",2148,"福岡県"
2023,27,"per_sentinel",10.85,"福岡県"
2023,27,"reports",59,"福岡市中央区"
2023,27,"per_sentinel",9.83,"福岡市中央区"
2023,27,"reports",86,"福岡市博多区"
2023,27,"per_sentinel",12.29,"福岡市博多区"
2023,27,"reports",76,"福岡市南区"
2023,27,"per_sentinel",8.44,"福岡市南区"
2023,27,"reports",292,"福岡市早良区"
2023,27,"per_sentinel",36.5,"福岡市早良区"
2023,27,"reports",121,"福岡市東区"
2023,27,"per_sentinel",13.44,"福岡市東区"
2023,27,"reports",82,"福岡市西区"
2023,27,"per_sentinel",11.71,"福岡市西区"
2023,27,"reports",89,"福岡市城南区"
2023,27,"per_sentinel",17.8,"福岡市城南区"
